Time,Psi_deg,Psi_err_deg,CTE_m,Surge_u,Sway_v,Yaw_Rate_r_deg,Yaw_Torque_TN,Roll_phi_deg,Roll_Rate_p_deg,Mode,Obs_MinDist_m
0.0,30.465326174158307,-3.0008254014240622e-05,-3.109693266724247e-09,0.0,0.0,0.0,0.0,0.0,0.0,GLOBAL,12.742786460186284
0.05,30.4653261741583,-5.7015650564521554e-05,-3.109693266724247e-09,0.0,0.0,0.0,-2.801597053010696e-05,0.0,-1.0402048770600096,GLOBAL,12.736857241072608
0.1,30.4653261741583,-8.132227541759431e-05,-3.109693266724247e-09,0.0014310609375,0.0,-8.025984351690103e-08,-7.989210757144325e-05,-0.05201024385300049,-2.0760531262852933,GLOBAL,12.73099934519681
0.15000000000000002,30.465326170145303,-0.00010319505563276764,-2.7348492659417557e-09,0.00423910039242446,6.652821095809645e-14,-2.9260728957251866e-07,-0.00015191062120090384,-0.15581290016726515,-3.0723018200612593,GLOBAL,12.725158995529625
0.2,30.465326155515008,-0.00012277353107491493,-1.6191633122166274e-09,0.008369435692836328,7.845105846509446e-13,-6.043961382518753e-07,-0.00024065133123967516,-0.3094279911703281,-3.993855745061922,GLOBAL,12.719284013376434
0.25,30.46532612529564,-0.00014038212022987823,5.657811775778166e-10,0.013767174000209343,3.708765579138452e-12,-8.409306169617077e-07,-0.0003437242330298632,-0.5091207784234242,-4.806961998431745,GLOBAL,12.713323866230233
0.3,30.46532608325077,-0.0001562232318164753,1.0603963775714922e-09,0.02037755462634247,1.0387475757818758e-11,-6.418056039466314e-07,-0.000459719767923625,-0.7494688783450114,-5.4804002840444275,GLOBAL,12.70722970230013
0.35,30.465326051163245,-0.00017049814843361107,1.8025638459527777e-10,0.028146244481740267,1.7886829145307368e-11,5.723771680689971e-07,-0.0005888145929587622,-1.0234888925472327,-5.986628434204451,GLOBAL,12.700954373061073
0.39999999999999997,30.46532607977755,-0.0001834199046007386,1.3288602948059725e-09,0.037019588449105176,8.424382393081006e-12,3.6222787826290303e-06,-0.0007333651940300113,-1.3228203142574553,-6.30284245281877,GLOBAL,12.694452445187716
0.44999999999999996,30.465326260843224,-0.00019522692764799908,-1.4114275773661903e-09,0.046944817161418934,-6.930899419576261e-11,9.582458733803528e-06,-0.0008985694662114415,-1.6379624368983938,-6.4119115496167165,GLOBAL,12.687680203219086
0.49999999999999994,30.465326739770383,-0.0002059625540323715,-1.5428637822358354e-09,0.05787021515969199,-3.2936541586731647e-10,1.9785464009448372e-05,-0.0010920196304079217,-1.9585580143792296,-6.3031513552614795,GLOBAL,12.680595644257778
0.5499999999999999,30.465327728465653,-0.00021621672547850364,1.1679000133933996e-09,0.06974525273272622,-9.901639719383674e-10,3.582178580221855e-05,-0.0013277956022685123,-2.273715582142304,-5.972902836331512,GLOBAL,12.67315846594355
0.6,30.465329518144816,-0.00022638699501169402,8.273745234532769e-10,0.08252068492411195,-2.4300584571360786e-09,5.9523634220229556e-05,-0.0016239491361460562,-2.5723607239588793,-5.424890305777008,GLOBAL,12.665330048861593
0.65,30.465332491327537,-0.00023657445485771565,7.879003074431033e-10,0.09614862125449511,-5.257397526245056e-09,9.295296498982069e-05,-0.0020018324138985056,-2.84360523924773,-4.670339136352173,GLOBAL,12.657073434455897
0.7000000000000001,30.465337133253,-0.0002477666152367328,1.359051221197895e-09,0.11058256967336276,-1.0395645789562363e-08,0.00013838887508712145,-0.0024939350967343185,-3.0771221960653383,-3.7278419891160395,GLOBAL,12.64835329942134
0.7500000000000001,30.465344042720194,-0.0002601106003388678,-1.8443132759123505e-10,0.12577745814591626,-1.918370309472569e-08,0.0001982905785845201,-0.003133613088052243,-3.2635142955211403,-2.6229711106208997,GLOBAL,12.6391359274486
